ticket_id,timestamp,alert_severity,alert_type,source_ip,dest_asset,assigned_analyst,time_to_acknowledge,time_to_close,resolution_notes,escalated,shift
TKT-002361,2026-08-28T16:07:40.841328,CRITICAL,DNS Tunneling,10.252.106.93,vpn-gw-44,Pooja Chauhan,102,2614,Reviewed DNS Tunneling targeting vpn-gw-44. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,True,SWING
TKT-004794,2026-08-20T00:35:48.593316,LOW,Insider Threat,10.246.201.62,stg-app-34,Pooja Chauhan,208,520,Reviewed Insider Threat targeting stg-app-34. Source identified as internal penetration test. Verified with Engineering team lead.,False,NIGHT
TKT-001775,2026-09-10T00:18:26.467361,CRITICAL,DDoS Attack,10.95.199.156,prod-app-31,Rajesh Kumar,68,10831,"Responded to DDoS Attack on prod-app-31. Quarantined suspicious binary, submitted hash to local sandbox. Result: outdated vulnerability scanner signatures.",True,NIGHT
TKT-007000,2026-09-12T04:04:31.474075,LOW,Malware Detection,10.3.94.84,prod-db-32,Sanjay Gupta,506,1505,Confirmed true positive for Malware Detection. Blocked source IP at perimeter firewall. Notified asset owner in IT Infrastructure.,False,NIGHT
TKT-003025,2026-08-16T18:30:19.311686,MEDIUM,Insider Threat,10.127.139.226,stg-app-19,Neha Joshi,523,2288,Triaged Insider Threat alert from stg-app-19. Correlated with SIEM logs — determined to be benign activity from scheduled misconfigured service account.,False,SWING
TKT-007987,2026-08-19T20:33:40.861865,MEDIUM,DNS Tunneling,10.105.13.122,prod-db-2,Pooja Chauhan,84,1798,Investigated DNS Tunneling on prod-db-2. Contained threat by isolating the host and running full AV scan. Root cause: legitimate admin remote session.,False,SWING
TKT-006726,2026-08-29T03:53:22.360217,MEDIUM,Data Exfiltration,10.27.232.128,net-fw-10,Ananya Sharma,446,3223,Reviewed Data Exfiltration targeting net-fw-10. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,NIGHT
TKT-004088,2026-09-08T07:51:34.374686,LOW,Brute Force Attempt,10.30.228.1,stg-web-18,Arjun Nair,189,1727,Triaged Brute Force Attempt alert from stg-web-18. Correlated with SIEM logs — determined to be benign activity from scheduled test traffic from red-team exercise.,False,DAY
TKT-006639,2026-09-04T08:46:19.813763,LOW,Ransomware,10.55.17.163,corp-ws-21,Amit Verma,784,371,Performed deep-dive on Ransomware. Memory dump analysis showed no IOCs. Likely caused by legitimate admin remote session. Closing as benign.,False,DAY
TKT-006353,2026-09-07T03:11:22.780834,LOW,SQL Injection,10.224.177.195,net-sw-11,Deepa Reddy,256,1251,"Escalated SQL Injection to Tier-2. Forensic analysis revealed test traffic from red-team exercise. Remediation applied, monitoring for recurrence.",False,NIGHT
TKT-006387,2026-08-29T18:46:51.065754,LOW,XSS Attack,10.113.4.47,dev-ws-35,Deepa Reddy,495,1337,Detected XSS Attack pattern on dev-ws-35. Updated IDS signatures and added source to watchlist. scheduled maintenance script execution confirmed.,False,SWING
TKT-000032,2026-08-16T06:00:31.836527,CRITICAL,Malware Detection,10.161.133.53,exec-ws-39,Rohit Malhotra,3,6,Ticket auto-closed after initial review.,False,DAY
TKT-006341,2026-09-02T15:16:34.624106,LOW,C2 Communication,10.2.37.55,prod-db-2,Amit Verma,578,1542,Reviewed C2 Communication targeting prod-db-2. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,SWING
TKT-003643,2026-09-10T11:36:17.815948,CRITICAL,Insider Threat,10.135.47.147,vpn-gw-14,Rajesh Kumar,117,9499,Investigated Insider Threat on vpn-gw-14. Contained threat by isolating the host and running full AV scan. Root cause: network topology change during patching.,False,DAY
TKT-006169,2026-09-05T09:35:15.345724,LOW,Brute Force Attempt,10.129.45.237,dev-ws-20,Amit Verma,627,959,Performed deep-dive on Brute Force Attempt. Memory dump analysis showed no IOCs. Likely caused by expired SSL certificate renewal process. Closing as benign.,False,DAY
TKT-001536,2026-08-30T07:25:22.208045,MEDIUM,Brute Force Attempt,10.37.110.4,stg-web-18,Sunita Rao,447,2946,"Responded to Brute Force Attempt on stg-web-18. Quarantined suspicious binary, submitted hash to local sandbox. Result: network topology change during patching.",False,DAY
TKT-005894,2026-08-19T04:44:32.101055,HIGH,SQL Injection,10.51.255.167,vpn-gw-44,Vikram Singh,258,2128,Detected SQL Injection pattern on vpn-gw-44. Updated IDS signatures and added source to watchlist. legitimate admin remote session confirmed.,False,NIGHT
TKT-001868,2026-09-02T01:45:10.482838,MEDIUM,DDoS Attack,10.104.218.96,net-sw-11,Pooja Chauhan,91,743,Confirmed true positive for DDoS Attack. Blocked source IP at perimeter firewall. Notified asset owner in IT Infrastructure.,False,NIGHT
TKT-005087,2026-08-15T03:26:37.663911,LOW,Data Exfiltration,10.52.216.185,hr-ws-38,Ananya Sharma,380,967,Reviewed Data Exfiltration targeting hr-ws-38. Source identified as internal penetration test. Verified with HR team lead.,False,NIGHT
TKT-007840,2026-09-09T15:39:17.039367,HIGH,Insider Threat,10.226.37.216,corp-ws-6,Neha Joshi,123,6353,Investigated Insider Threat on corp-ws-6. Contained threat by isolating the host and running full AV scan. Root cause: expired SSL certificate renewal process.,False,SWING
TKT-001701,2026-08-18T16:18:30.210513,LOW,Data Exfiltration,10.143.2.15,prod-app-31,Neha Joshi,745,1446,Confirmed true positive for Data Exfiltration. Blocked source IP at perimeter firewall. Notified asset owner in Engineering.,False,SWING
TKT-000697,2026-09-07T17:36:01.592881,HIGH,Port Scan,10.39.59.210,corp-ws-36,Amit Verma,88,5206,Triaged Port Scan alert from corp-ws-36. Correlated with SIEM logs — determined to be benign activity from scheduled misconfigured service account.,False,SWING
TKT-007958,2026-08-28T04:29:28.342224,CRITICAL,DNS Tunneling,10.253.139.187,stg-web-33,Kavita Deshmukh,35,3866,Triaged DNS Tunneling alert from stg-web-33. Correlated with SIEM logs — determined to be benign activity from scheduled legitimate admin remote session.,True,NIGHT
TKT-008718,2026-08-18T09:28:45.723536,HIGH,SQL Injection,10.246.201.45,dev-ws-35,Pooja Chauhan,40,4666,Detected SQL Injection pattern on dev-ws-35. Updated IDS signatures and added source to watchlist. network topology change during patching confirmed.,True,DAY
TKT-004595,2026-08-21T13:14:00.305203,LOW,Privilege Escalation,10.156.122.178,prod-web-30,Ananya Sharma,287,582,Detected Privilege Escalation pattern on prod-web-30. Updated IDS signatures and added source to watchlist. misconfigured service account confirmed.,False,DAY
TKT-008164,2026-09-10T11:53:30.615816,HIGH,Ransomware,10.34.201.51,file-srv-43,Kavita Deshmukh,287,1696,Detected Ransomware pattern on file-srv-43. Updated IDS signatures and added source to watchlist. outdated vulnerability scanner signatures confirmed.,False,DAY
TKT-002687,2026-09-06T05:41:54.595672,LOW,Data Exfiltration,10.116.91.251,prod-app-16,Vikram Singh,189,1664,Detected Data Exfiltration pattern on prod-app-16. Updated IDS signatures and added source to watchlist. scheduled maintenance script execution confirmed.,False,NIGHT
TKT-001512,2026-09-09T07:05:11.654027,HIGH,Port Scan,10.72.52.24,prod-db-17,Arjun Nair,232,1900,Confirmed true positive for Port Scan. Blocked source IP at perimeter firewall. Notified asset owner in IT Infrastructure.,False,DAY
TKT-005364,2026-08-14T14:36:17.263880,LOW,Unauthorized Access,10.0.220.164,net-fw-25,Kavita Deshmukh,230,1704,Performed deep-dive on Unauthorized Access. Memory dump analysis showed no IOCs. Likely caused by expired SSL certificate renewal process. Closing as benign.,False,SWING
TKT-006052,2026-08-17T12:19:03.604463,MEDIUM,SQL Injection,10.197.18.13,fin-ws-37,Priya Patel,69,1215,"Responded to SQL Injection on fin-ws-37. Quarantined suspicious binary, submitted hash to local sandbox. Result: test traffic from red-team exercise.",False,DAY
TKT-004102,2026-08-29T18:29:40.770142,HIGH,Lateral Movement,10.124.27.242,net-sw-11,Meera Iyer,177,4868,"Escalated Lateral Movement to Tier-2. Forensic analysis revealed expired SSL certificate renewal process. Remediation applied, monitoring for recurrence.",False,SWING
TKT-008401,2026-08-24T15:16:09.398931,HIGH,Insider Threat,10.99.81.27,file-srv-43,Rohit Malhotra,38,4925,Reviewed Insider Threat targeting file-srv-43. Source identified as internal penetration test. Verified with Operations team lead.,False,SWING
TKT-003498,2026-09-10T08:40:23.392012,MEDIUM,Lateral Movement,10.146.176.218,prod-db-32,Karan Mehta,158,3187,Investigated Lateral Movement on prod-db-32. Contained threat by isolating the host and running full AV scan. Root cause: legacy application compatibility issue.,False,DAY
TKT-006415,2026-08-29T22:21:39.010819,MEDIUM,Port Scan,10.17.138.51,stg-web-3,Deepa Reddy,220,666,Confirmed true positive for Port Scan. Blocked source IP at perimeter firewall. Notified asset owner in Engineering.,False,NIGHT
TKT-002070,2026-09-11T18:27:29.456778,LOW,SQL Injection,10.239.141.23,stg-web-33,Rohit Malhotra,308,1457,Confirmed true positive for SQL Injection. Blocked source IP at perimeter firewall. Notified asset owner in Engineering.,False,SWING
TKT-003090,2026-08-16T13:35:13.078078,MEDIUM,Malware Detection,10.82.196.48,net-sw-26,Deepa Reddy,353,2287,Reviewed Malware Detection targeting net-sw-26. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,DAY
TKT-009616,2026-09-05T20:58:04.365214,HIGH,Phishing Email,10.43.38.14,corp-ws-36,Meera Iyer,31,4011,Confirmed true positive for Phishing Email. Blocked source IP at perimeter firewall. Notified asset owner in Operations.,True,SWING
TKT-005589,2026-09-05T10:52:29.813264,CRITICAL,Unauthorized Access,10.224.26.246,net-fw-40,Arjun Nair,90,10167,"Escalated Unauthorized Access to Tier-2. Forensic analysis revealed outdated vulnerability scanner signatures. Remediation applied, monitoring for recurrence.",False,DAY
TKT-009406,2026-08-30T03:49:01.670233,LOW,C2 Communication,10.218.138.96,prod-app-1,Deepa Reddy,219,828,"Responded to C2 Communication on prod-app-1. Quarantined suspicious binary, submitted hash to local sandbox. Result: legacy application compatibility issue.",False,NIGHT
TKT-005231,2026-08-21T23:08:43.848126,LOW,Unauthorized Access,10.73.199.133,prod-web-15,Rohit Malhotra,490,528,"Responded to Unauthorized Access on prod-web-15. Quarantined suspicious binary, submitted hash to local sandbox. Result: legacy application compatibility issue.",False,NIGHT
TKT-000461,2026-08-23T10:42:29.880540,MEDIUM,Malware Detection,10.196.214.251,exec-ws-39,Pooja Chauhan,314,1720,Resolved per SOP.,False,DAY
TKT-000665,2026-09-12T01:22:51.719780,MEDIUM,SQL Injection,10.30.143.35,file-srv-13,Arjun Nair,403,1428,Confirmed true positive for SQL Injection. Blocked source IP at perimeter firewall. Notified asset owner in Operations.,False,NIGHT
TKT-004464,2026-08-25T11:40:28.283334,CRITICAL,Insider Threat,10.113.49.100,net-fw-10,Sanjay Gupta,95,3719,Triaged Insider Threat alert from net-fw-10. Correlated with SIEM logs — determined to be benign activity from scheduled expired SSL certificate renewal process.,False,DAY
TKT-009466,2026-08-27T09:11:11.296367,HIGH,Malware Detection,10.69.90.54,prod-app-31,Sunita Rao,198,3198,"Escalated Malware Detection to Tier-2. Forensic analysis revealed test traffic from red-team exercise. Remediation applied, monitoring for recurrence.",False,DAY
TKT-002755,2026-08-17T21:08:20.423679,MEDIUM,DNS Tunneling,10.36.193.66,stg-app-4,Rohit Malhotra,470,1200,Confirmed true positive for DNS Tunneling. Blocked source IP at perimeter firewall. Notified asset owner in Engineering.,False,SWING
TKT-002735,2026-08-28T06:04:19.946200,LOW,Phishing Email,10.168.17.150,exec-ws-9,Meera Iyer,419,453,"Escalated Phishing Email to Tier-2. Forensic analysis revealed expired SSL certificate renewal process. Remediation applied, monitoring for recurrence.",False,DAY
TKT-009512,2026-09-06T10:48:24.591696,LOW,XSS Attack,10.120.241.207,net-fw-10,Rajesh Kumar,193,1077,Investigated XSS Attack on net-fw-10. Contained threat by isolating the host and running full AV scan. Root cause: outdated vulnerability scanner signatures.,False,DAY
TKT-003927,2026-09-09T23:56:01.306920,HIGH,Brute Force Attempt,10.32.151.94,prod-app-31,Deepa Reddy,181,4486,Detected Brute Force Attempt pattern on prod-app-31. Updated IDS signatures and added source to watchlist. expired SSL certificate renewal process confirmed.,False,NIGHT
TKT-008611,2026-08-31T00:01:18.213811,CRITICAL,Data Exfiltration,10.235.38.251,fin-ws-22,Kavita Deshmukh,104,11004,Investigated Data Exfiltration on fin-ws-22. Contained threat by isolating the host and running full AV scan. Root cause: network topology change during patching.,True,NIGHT
TKT-002456,2026-08-20T03:06:21.163324,LOW,SQL Injection,10.193.125.60,dev-ws-20,Meera Iyer,384,1518,Confirmed true positive for SQL Injection. Blocked source IP at perimeter firewall. Notified asset owner in Engineering.,False,NIGHT
TKT-005309,2026-08-20T09:40:33.642450,LOW,Data Exfiltration,10.238.229.16,prod-db-2,Rohit Malhotra,516,715,Detected Data Exfiltration pattern on prod-db-2. Updated IDS signatures and added source to watchlist. scheduled maintenance script execution confirmed.,False,DAY
TKT-001436,2026-09-06T01:45:17.682888,MEDIUM,Data Exfiltration,10.114.145.9,prod-db-17,Deepa Reddy,158,2708,Performed deep-dive on Data Exfiltration. Memory dump analysis showed no IOCs. Likely caused by expired SSL certificate renewal process. Closing as benign.,False,NIGHT
TKT-001733,2026-08-20T23:58:29.104218,LOW,Phishing Email,10.72.234.95,stg-web-3,Karan Mehta,303,1674,Detected Phishing Email pattern on stg-web-3. Updated IDS signatures and added source to watchlist. scheduled maintenance script execution confirmed.,False,NIGHT
TKT-001886,2026-08-15T17:59:59.869551,MEDIUM,Port Scan,10.202.69.151,net-sw-26,Pooja Chauhan,289,1871,Reviewed Port Scan targeting net-sw-26. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,SWING
TKT-008916,2026-08-22T13:13:07.852122,LOW,Insider Threat,10.65.183.13,corp-ws-21,Deepa Reddy,566,1333,Triaged Insider Threat alert from corp-ws-21. Correlated with SIEM logs — determined to be benign activity from scheduled legacy application compatibility issue.,False,DAY
TKT-006406,2026-09-01T15:58:43.500563,CRITICAL,Insider Threat,10.209.92.190,prod-db-2,Meera Iyer,51,11421,Reviewed Insider Threat targeting prod-db-2. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,SWING
TKT-006485,2026-09-10T18:07:43.071803,LOW,Privilege Escalation,10.55.147.35,dev-ws-20,Priya Patel,370,662,Investigated Privilege Escalation on dev-ws-20. Contained threat by isolating the host and running full AV scan. Root cause: legacy application compatibility issue.,False,SWING
TKT-000446,2026-09-04T14:37:17.070647,HIGH,Malware Detection,10.66.247.236,vpn-gw-44,Pooja Chauhan,279,1825,Resolved per SOP.,False,SWING
TKT-005136,2026-08-29T21:52:46.659690,HIGH,Brute Force Attempt,10.163.154.237,mail-srv-42,Rohit Malhotra,137,5278,Reviewed Brute Force Attempt targeting mail-srv-42. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,SWING
TKT-002009,2026-08-15T13:49:14.025048,CRITICAL,Lateral Movement,10.202.169.211,fin-ws-37,Kavita Deshmukh,101,8852,Triaged Lateral Movement alert from fin-ws-37. Correlated with SIEM logs — determined to be benign activity from scheduled test traffic from red-team exercise.,True,DAY
TKT-006204,2026-08-28T00:39:14.377882,MEDIUM,Brute Force Attempt,10.230.163.164,dev-ws-35,Pooja Chauhan,397,1907,"Escalated Brute Force Attempt to Tier-2. Forensic analysis revealed test traffic from red-team exercise. Remediation applied, monitoring for recurrence.",False,NIGHT
TKT-009188,2026-09-04T21:03:36.742336,LOW,C2 Communication,10.197.211.178,net-sw-11,Neha Joshi,870,734,Triaged C2 Communication alert from net-sw-11. Correlated with SIEM logs — determined to be benign activity from scheduled legitimate admin remote session.,False,SWING
TKT-003610,2026-09-01T02:35:40.881018,CRITICAL,Unauthorized Access,10.177.253.41,stg-app-19,Rohit Malhotra,35,2994,Performed deep-dive on Unauthorized Access. Memory dump analysis showed no IOCs. Likely caused by network topology change during patching. Closing as benign.,True,NIGHT
TKT-003374,2026-08-31T19:51:26.520538,MEDIUM,SQL Injection,10.111.176.163,mail-srv-12,Deepa Reddy,290,726,"Escalated SQL Injection to Tier-2. Forensic analysis revealed outdated vulnerability scanner signatures. Remediation applied, monitoring for recurrence.",False,SWING
TKT-007471,2026-09-11T04:25:10.460002,HIGH,Lateral Movement,10.45.232.65,net-fw-40,Rohit Malhotra,288,2252,Reviewed Lateral Movement targeting net-fw-40. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,True,NIGHT
TKT-006678,2026-08-18T06:48:37.871222,LOW,Ransomware,10.107.36.237,vpn-gw-29,Neha Joshi,467,1031,Reviewed Ransomware targeting vpn-gw-29. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,DAY
TKT-009453,2026-09-01T05:28:03.836092,MEDIUM,DNS Tunneling,10.219.98.18,dev-ws-20,Sunita Rao,219,3518,Investigated DNS Tunneling on dev-ws-20. Contained threat by isolating the host and running full AV scan. Root cause: outdated vulnerability scanner signatures.,False,NIGHT
TKT-002972,2026-08-23T00:55:26.417737,LOW,SQL Injection,10.238.255.53,hr-ws-8,Arjun Nair,218,1566,Triaged SQL Injection alert from hr-ws-8. Correlated with SIEM logs — determined to be benign activity from scheduled network topology change during patching.,False,NIGHT
TKT-004825,2026-09-04T01:16:39.385542,MEDIUM,Ransomware,10.177.176.129,exec-ws-24,Vikram Singh,74,651,"Responded to Ransomware on exec-ws-24. Quarantined suspicious binary, submitted hash to local sandbox. Result: scheduled maintenance script execution.",False,NIGHT
TKT-001967,2026-08-15T07:40:13.219333,HIGH,XSS Attack,10.122.254.37,hr-ws-8,Kavita Deshmukh,300,5907,Confirmed true positive for XSS Attack. Blocked source IP at perimeter firewall. Notified asset owner in HR.,False,DAY
TKT-003874,2026-09-08T18:05:28.173515,LOW,DDoS Attack,10.175.176.142,prod-app-1,Pooja Chauhan,690,402,Triaged DDoS Attack alert from prod-app-1. Correlated with SIEM logs — determined to be benign activity from scheduled legacy application compatibility issue.,False,SWING
TKT-002077,2026-09-05T09:47:17.659198,LOW,Unauthorized Access,10.188.142.174,file-srv-28,Neha Joshi,665,1733,Investigated Unauthorized Access on file-srv-28. Contained threat by isolating the host and running full AV scan. Root cause: legitimate admin remote session.,False,DAY
